6 3 1 # 1:chr1
#Chr	Start	End	HDR:1/2	Case-Ctrl1	Case-Ctrl2	Case-Ctrl3	Ctrl1-Ctrl2	Ctrl1-Ctrl3	Ctrl2-Ctrl3
chr1	1237538	1337334	1	0.000	1.000	1.000	1.000	1.000	1.000
chr1	16342103	17249334	1	0.000	1.000	1.000	1.000	1.000	0.920
chr1	17706297	18023509	1	0.000	1.000	1.000	1.000	1.000	0.571
chr1	22183739	22447746	1	0.000	1.000	1.000	1.000	1.000	1.000
chr1	24413118	24495968	1	0.000	1.000	1.000	1.000	1.000	1.000
chr1	25889539	26378211	1	0.000	1.000	1.000	1.000	1.000	0.833
chr1	1237538	1337334	2	0	3	2	3	2	5
chr1	16342103	17249334	2	0	20	7	20	7	25
chr1	17706297	18023509	2	0	10	10	10	10	14
chr1	22183739	22447746	2	0	1	1	1	1	2
chr1	24413118	24495968	2	0	1	1	1	1	2
chr1	25889539	26378211	2	1	16	7	16	7	18
